country,year,nitrous_oxide,co2_emissions,agricultural_land,greenhouse_gas_emissions,cereal_yield,population_growth,arable_land,urban_population,GDP,fresh_water
United Arab Emirates,2020,,,,,,,,,,
United Arab Emirates,2019,1940.0,,,,,,,,,
United Arab Emirates,2018,1960.0,,,,,,,,,
United Arab Emirates,2017,2030.0,,,,,,,,,
United Arab Emirates,2016,1870.0,,,,,,,,,
United Arab Emirates,2015,1770.0,,,,,,,,,
United Arab Emirates,2014,1810.0,,,,,,,,,
United Arab Emirates,2013,1770.0,,,,,,,,,
United Arab Emirates,2012,1620.0,,,,,,,,,
United Arab Emirates,2011,1600.0,,,,,,,,,
United Arab Emirates,2010,1600.0,,,,,,,,,
United Arab Emirates,2009,1560.0,,,,,,,,,
United Arab Emirates,2008,1460.0,,,,,,,,,
United Arab Emirates,2007,1350.0,,,,,,,,,
United Arab Emirates,2006,1300.0,,,,,,,,,
United Arab Emirates,2005,1250.0,,,,,,,,,
United Arab Emirates,2004,1180.0,,,,,,,,,
United Arab Emirates,2003,1160.0,,,,,,,,,
United Arab Emirates,2002,1090.0,,,,,,,,,
United Arab Emirates,2001,960.0,,,,,,,,,
United Arab Emirates,2000,900.0,,,,,,,,,
United Arab Emirates,1999,860.0,,,,,,,,,
United Arab Emirates,1998,820.0,,,,,,,,,
United Arab Emirates,1997,800.0,,,,,,,,,
United Arab Emirates,1996,780.0,,,,,,,,,
United Arab Emirates,1995,750.0,,,,,,,,,
United Arab Emirates,1994,700.0,,,,,,,,,
United Arab Emirates,1993,660.0,,,,,,,,,
United Arab Emirates,1992,620.0,,,,,,,,,
United Arab Emirates,1991,570.0,,,,,,,,,
United Arab Emirates,1990,510.0,,,,,,,,,
Armenia,2020,,,,,,,,,,
Armenia,2019,1270.0,,,,,,,,,
Armenia,2018,1170.0,,,,,,,,,
Armenia,2017,1220.0,,,,,,,,,
Armenia,2016,1620.0,,,,,,,,,
Armenia,2015,1090.0,,,,,,,,,
Armenia,2014,980.0,,,,,,,,,
Armenia,2013,1020.0,,,,,,,,,
Armenia,2012,960.0,,,,,,,,,
Armenia,2011,800.0,,,,,,,,,
Armenia,2010,770.0,,,,,,,,,
Armenia,2009,820.0,,,,,,,,,
Armenia,2008,770.0,,,,,,,,,
Armenia,2007,790.0,,,,,,,,,
Armenia,2006,950.0,,,,,,,,,
Armenia,2005,640.0,,,,,,,,,
Armenia,2004,660.0,,,,,,,,,
Armenia,2003,610.0,,,,,,,,,
Armenia,2002,630.0,,,,,,,,,
Armenia,2001,540.0,,,,,,,,,
Armenia,2000,530.0,,,,,,,,,
Armenia,1999,510.0,,,,,,,,,
Armenia,1998,520.0,,,,,,,,,
Armenia,1997,540.0,,,,,,,,,
Armenia,1996,540.0,,,,,,,,,
Armenia,1995,540.0,,,,,,,,,
Armenia,1994,550.0,,,,,,,,,
Armenia,1993,640.0,,,,,,,,,
Armenia,1992,760.0,,,,,,,,,
Armenia,1991,870.0,,,,,,,,,
Armenia,1990,910.0,,,,,,,,,
Belgium,2020,,,,,,,,,,
Belgium,2019,4580.0,,,,,,,,,
Belgium,2018,4590.0,,,,,,,,,
Belgium,2017,4570.0,,,,,,,,,
Belgium,2016,4620.0,,,,,,,,,
Belgium,2015,4780.0,,,,,,,,,
Belgium,2014,4820.0,,,,,,,,,
Belgium,2013,4840.0,,,,,,,,,
Belgium,2012,4950.0,,,,,,,,,
Belgium,2011,4940.0,,,,,,,,,
Belgium,2010,6190.0,,,,,,,,,
Belgium,2009,5680.0,,,,,,,,,
Belgium,2008,5480.0,,,,,,,,,
Belgium,2007,5520.0,,,,,,,,,
Belgium,2006,6150.0,,,,,,,,,
Belgium,2005,7160.0,,,,,,,,,
Belgium,2004,7280.0,,,,,,,,,
Belgium,2003,7200.0,,,,,,,,,
Belgium,2002,7960.0,,,,,,,,,
Belgium,2001,7470.0,,,,,,,,,
Belgium,2000,7680.0,,,,,,,,,
Belgium,1999,9050.0,,,,,,,,,
Belgium,1998,9110.0,,,,,,,,,
Belgium,1997,9020.0,,,,,,,,,
